"Response Duration",1
"Risk",3
"Clinical (qualifier value)",2
"Cox Models",1
"Late (qualifier value)",2
"Mastectomy, Modified Radical",1
"Hysterectomy",1
"Neoplasms",6
"Bad (qualifier value)",1
"preserved",1
"Diagnostic",1
"Pelvic wall structure (body structure)",1
"findings",6
"Drug-induced (qualifier value)",1
"Increased (qualifier value)",2
"Anastomosis - action",1
"Anthracyclines",1
"Rating",7
"Recurrent disease (finding)",2
"Visible (qualifier value)",1
"Ifosfamide",2
"Diagnosis",1
"Overall [Publication Type]",10
"Result (navigational concept)",12
"Surgery specialty",3
"Conflict (Psychology)",1
"hazard",2
"day (qualifier value)",2
"Thymidine",1
"Surgeon (occupation)",1
"standards characteristics",1
"Agent (attribute)",1
"Combined (qualifier value)",4
"White Blood Cell Count procedure",1
"Cervical (qualifier value)",3
"Levamisole",2
"Decrease (qualifier value)",1
"Drug Therapy, Combination",1
"Recent episode (qualifier value)",1
"Satellite Viruses",1
"Hematologic (qualifier value)",1
"Infusion (procedure)",2
"Serious (qualifier value)",1
"Pulmonary toxicity",1
"Confidence Intervals",3
"Accountant NOS (occupation)",1
"Exploration procedure (procedure)",1
"Mean (qualifier value)",2
"Reception",1
"Recurrence",7
"Special (qualifier value)",1
"Malignant neoplasm of cervix uteri",2
"Postop",1
"Risk Factors",1
"Arm",2
"Tissue Culture",1
"Significant (qualifier value)",7
"Materials",1
"Gy (qualifier value)",3
"Human adult females",6
"Early (qualifier value)",1
"Coitus",2
"Bleomycin",3
"Capillary, Unspecified",1
"Bladder",1
"Fractions of (qualifier value)",1
"Surgical aspects",3
"Therapeutic",1
"Semustine",2
"Neurotoxicity Syndromes",1
"Heart Failure, Congestive",1
"Urologic (qualifier value)",1
"Carcinoma",1
"Streptozocin",1
"lymph nodes",1
"Excision - action (qualifier value)",1
"Behavior",2
"Malignant Neoplasms",2
"Definitive (qualifier value)",2
"Anastomosis",1
"Anastomosis of intestine NOS (procedure)",1
"Assessment procedure (procedure)",1
"Doxorubicin",1
"Spacer (physical object)",1
"Possible",1
"Gender",2
"Intracavitary (qualifier value)",2
"Tail",1
"Methodology",15
"Parametrium",2
"Disease-Free Survival",7
"MST",1
"Iva",1
"Group (social concept)",2
"Minimal (qualifier value)",1
"therapeutic aspects",8
"Adjuvants, Immunologic",2
"Logger (occupation)",1
"Active",1
"Cancer Genus",2
"Baths (medical device)",2
"Attenuated by (contextual qualifier) (qualifier value)",1
"Course (attribute)",1
"Epirubicin",1
"Cox microbiology subtype",1
"Cyclic (qualifier value)",3
"Patients",20
"Pharmacotherapy",8
"Irradiation (physical force)",1
"Neuraxis",1
"Essential (qualifier value)",1
"Sutures, Polyglycolic Acid",1
"Preoperative (qualifier value)",2
"Acuteness (qualifier value)",1
"adverse effects",2
"Episodes (qualifier value)",2
"increasing incidence",1
"Entire neck",1
"Para-aortic (qualifier value)",1
"Mean Survival Time",1
"Cost aspects",1
"Relapse phase",2
"NODE",1
"Techniques",1
"Five (qualifier value)",3
"Leukemia",1
"Personal failure",1
"Teleradiotherapy procedure (procedure)",1
"Deferoxamine",2
"Finding of platelet count (finding)",1
"Surgical Patients",1
"ESTIMATED",1
"Positive (qualifier value)",3
"trends",1
"Bacilli",2
"Supportive care",1
"survival aspects",18
"Aortic lymph node (body structure)",1
"regimen",3
"X-Ray Computed Tomography",3
"BOMP protocol",1
"Unmarried person",3
"Lower (qualifier value)",2
"Not free of (attribute)",3
"Entire duodenum",1
"Progression-Free Survival",3
"Dosages (qualifier value)",5
"APC Gene",3
"Carcinoma, Adenosquamous",1
"Disruption (morphologic abnormality)",1
"Granulocyte Colony-Stimulating Factor",1
"Location (attribute)",2
"Mortality Vital Statistics",2
"Manufactured form",1
"Gastrointestinal",2
"Previous (qualifier value)",4
"Relapse",5
"week (qualifier value)",5
"Few (qualifier value)",2
"Absolute (qualifier value)",1
"Colorectal cancer metastatic",1
"Leaking (qualifier value)",1
"PALA",1
"Effectiveness (qualifier value)",1
"Follow-up status (finding)",3
"Systemic (qualifier value)",1
"Several (qualifier value)",1
"Secondary malignant neoplasm of lymph node (disorder)",1
"Pain-Free",1
"High frequency (qualifier value)",1
"Intravenous",1
"Frequency of Responses",4
"In complete remission (qualifier value)",1
"Secondary malignant neoplasm of liver (disorder)",1
"Probability",1
"Recurrent tumor (finding)",1
"Entire pelvic lymph node",1
"Laboratories",1
"The science and art of healing",1
"Drain, device (physical object)",1
"Analysis of substances",8
"Modified radical mastectomy (procedure)",1
"Unmarried",3
"Layer",1
"Diameter (qualifier value)",4
"hyperfractionation",1
"pharmacotherapeutic",8
"Cancer treatment response rate",4
"Interpretation (attribute)",4
"Responses",1
"Astragalus species poisoning (disorder)",1
"Stage 1 lower case bee",3
"Financial cost",1
"Pelvis",2
"Methods",16
"Application (procedure)",1
"Manifest (qualifier value)",1
"Population",1
"Menopausal",1
"Radical (qualifier value)",1
"Procedures",1
"Electrocorticogram (procedure)",1
"Radiation",3
"Schedules",1
"Combinations (physical object)",3
"Labels",1
"Nodal (qualifier value)",1
"Antibodies",1
"Unproven (qualifier value)",1
"Resistant (qualifier value)",1
