"Decreased size (finding)",1
"Blood Platelets",5
"Multicenter Trials",2
"Sounds device",1
"Mastectomy, Modified Radical",2
"Gastrointestinal complication (disorder)",1
"Ischemia",1
"Pain",3
"Clinical finding (finding)",1
"Neurological Effects",1
"Prolonged (qualifier value)",5
"Bikinia le-testui",1
"Gastrointestinal toxicity",1
"Set of compartments",1
"Guidelines",3
"Life Table Estimates",2
"Malignant neurilemmoma",1
"Metoclopramide",1
"Ifosfamide",2
"major surgery",2
"Diagnosis",4
"Thyroid Cancer",1
"Age Group Unspecified",1
"Conflict (Psychology)",1
"Universities",2
"millivolt",1
"Traditional (qualifier value)",1
"Common (qualifier value)",8
"Single event (qualifier value)",1
"Obese build",1
"Thymidine",1
"Fist, device (physical object)",1
"Rhenium",1
"White Blood Cell Count procedure",6
"Muscle Rigidity",1
"Levamisole",3
"Respiratory",1
"Levels (qualifier value)",5
"Physical examination, complete (procedure)",2
"Radiotherapy, Intracavity",2
"Finding of antibody titer (finding)",1
"Drug Therapy, Combination",4
"Life",4
"Registers (PT)",2
"Odds Ratio",1
"Observers",4
"hydration",2
"Postoperative Complications",1
"Member of (attribute)",1
"Reception",8
"Pole",1
"Iowa",1
"activate",1
"Detective (occupation)",1
"Cervix carcinoma stage I",1
"Aggression",1
"Malignant neoplasm of cervix uteri",9
"Molecular Weight",1
"Blocking",2
"phase II study",1
"Bilirubin measurement (procedure)",1
"High dose brachytherapy (regime/therapy)",1
"Pain score (observable entity)",1
"Disputes",1
"Extensive (qualifier value)",2
"Human adult females",9
"guiding characteristics",3
"Early (qualifier value)",7
"participant",3
"Direction",1
"Bladder",5
"Hemoglobin G (substance)",3
"Adverse event",2
"Discord",4
"ERROR",2
"Cannulation of vascular fistula, graft or prosthetic device",1
"Perforation of ileum (disorder)",1
"assay",2
"Definitive (qualifier value)",5
"Assessment procedure (procedure)",15
"Possible",5
"Cerebrovascular accident",1
"Adrenal Cortex Hormones",2
"synergism",1
"Granulocytopenia",2
"Normal renal function (finding)",1
"Blood Cell Count",1
"therapeutic aspects",23
"Staining",1
"Site of primary lesion (attribute)",1
"Documentation",1
"patient safety",1
"disease characteristic",1
"Course (attribute)",9
"Austria",1
"Logistic Regression",2
"Subcutaneous (qualifier value)",1
"Cyclic (qualifier value)",8
"Inflammatory disease of mucous membrane (disorder)",5
"Cardiopulmonary",1
"Non-human treatment outcome",2
"decision",2
"Major pelvis structure (body structure)",1
"Irradiation (physical force)",11
"Pharmacotherapy",21
"Subclinical (qualifier value)",3
"Greece",1
"Harbor",3
"Acuteness (qualifier value)",7
"Daily (qualifier value)",6
"Episodes (qualifier value)",4
"Para-aortic (qualifier value)",2
"increasing incidence",1
"Self-confidence (observable entity)",2
"Case (qualifier value)",9
"Visceral (qualifier value)",1
"Separate (qualifier value)",1
"Entire skeleton",1
"Division (procedure)",1
"Serum creatinine raised (finding)",1
"Feeling upset (finding)",1
"Alternative Billing Concepts",1
"NODE",7
"Techniques",9
"Personal failure",9
"Whole (qualifier value)",1
"Rectal (qualifier value)",2
"Viola",1
"Discontinuation (procedure)",2
"Statistical sensitivity",4
"Simile",12
"trends",6
"Aspartate aminotransferase assay",3
"Consistency finding (finding)",2
"Kidney Failure",1
"Ventricular Function, Left",1
"X-Ray Computed Tomography",8
"Level II (tumor staging)",1
"Circumferential (qualifier value)",1
"Adriamycin",2
"Presentation (attribute)",3
"Chronic (qualifier value)",4
"participation",2
"INFECTIOUS PROCESS",1
"Mayo County, Republic of Ireland",1
"Observation in research",9
"oncology",1
"Verification of Theories",1
"Large",8
"Midline incision (procedure)",1
"Secondary diagnosis",1
"Lumen (qualifier value)",1
"Treatment Effectiveness",1
"Beginning",1
"Analysis of Variance",2
"Granulocyte Colony-Stimulating Factor",2
"Location (attribute)",4
"Histopathological aspects",4
"Mortality Vital Statistics",8
"Epithelium",2
"Classes (qualifier value)",1
"Cervix Neoplasms",1
"Tract",1
"Degree or extent",5
"Clinical investigation",3
"week (qualifier value)",15
"Expanding (qualifier value)",1
"AJCC (tumor staging)",1
"Actual",1
"Absolute (qualifier value)",2
"Effectiveness (qualifier value)",6
"Finding of creatinine level (finding)",1
"Liver Function Tests",2
"Obstetrician (occupation)",1
"Secondary malignant neoplasm of lymph node (disorder)",2
"Medical pathologist (occupation)",3
"high-risk group",1
"High frequency (qualifier value)",2
"Brazil",1
"Skeletal system",1
"Test, cytology, digestive",2
"Phosphorus preparation",2
"Records",1
"Pulmonary Fibrosis",1
"THERAPEUTIC RESULTS",3
"Expression - action (qualifier value)",1
"Recurrent tumor (finding)",2
"Calibration",1
"Testing",2
"CONFIRMATORY",1
"Erythrocytes",2
"Drain, device (physical object)",1
"Wounded",3
"Veterans Alcoholism Screening Test",2
"Reasoning",8
"Analysis of substances",23
"Dissection",3
"Pressure- physical agent",1
"millimeter",2
"Debates",1
"Unmarried",7
"Lethargy",1
"Floxuridine",1
"Skin reaction (observable entity)",2
"Hypersensitivity",1
"Surgical intervention",1
"Cancer treatment response rate",10
"p-Aminosalicylic Acid",3
"CONCEPT Drug",1
"Neoplasm, Residual",1
"Stage 1 lower case bee",4
"Astragalus species poisoning (disorder)",1
"Human",1
"Induration (morphologic abnormality)",1
"Financial cost",2
"Application (procedure)",4
"Management",1
"Population",4
"Status of invasion by tumor (observable entity)",2
"Radical (qualifier value)",6
