"Risk",7
"Clinical (qualifier value)",8
"Blood Platelets",1
"Multicenter Trials",1
"Sounds device",1
"Cox Models",1
"Mastectomy, Modified Radical",1
"alone",1
"Neoplasms",10
"Ischemia",1
"Pain",1
"Interrupted (qualifier value)",1
"Blood Count, Complete",1
"Clinical finding (finding)",1
"Prolonged (qualifier value)",1
"diazonaphthalenedisulfonic acid",1
"Anastomosis - action",1
"Set of compartments",1
"Guidelines",1
"Generalized (qualifier value)",1
"Damage (morphologic abnormality)",2
"Performance",1
"Unit",1
"Ifosfamide",1
"Diagnosis",1
"Dissection procedure (procedure)",2
"Age Group Unspecified",1
"Conflict (Psychology)",1
"Universities",1
"Second Cancer",1
"hazard",3
"Common (qualifier value)",4
"Single event (qualifier value)",1
"Thymidine",1
"Suggestion",1
"White Blood Cell Count procedure",1
"Combined (qualifier value)",6
"Hour",2
"Muscle Rigidity",1
"Crossed (qualifier value)",1
"Levamisole",2
"Radiotherapy, Intracavity",1
"Drug Therapy, Combination",1
"Radioisotopes",1
"Life",2
"Recent episode (qualifier value)",2
"Aggressive cancer",1
"Conscious",1
"Microfibrils",1
"Observers",1
"Member of (attribute)",1
"Mean (qualifier value)",1
"Reception",3
"Recurrence",10
"Malignant neoplasm of cervix uteri",4
"Aggression",1
"Cervix carcinoma stage I",1
"Molecular Weight",1
"Physiologic Organization",1
"Questionnaires",2
"Arm",9
"Mental tolerance",1
"Obstetric Patient",1
"Materials",1
"Excretory function",2
"Human adult females",8
"Pharmaceutical Preparations",8
"guiding characteristics",1
"Early (qualifier value)",3
"participant",1
"Bladder",1
"Hemoglobin G (substance)",1
"SUBSEQUENT",1
"Stomach",1
"Discord",2
"lymph nodes",2
"Savings",1
"Malignant Neoplasms",2
"Incidence",5
"Definitive (qualifier value)",1
"Anastomosis",1
"Anastomosis of intestine NOS (procedure)",1
"Assessment procedure (procedure)",4
"Liver Extract",1
"Possible",4
"System (attribute)",1
"Gender",2
"Intracavitary (qualifier value)",2
"Intracellular",1
"Methodology",3
"synergism",1
"Route (attribute)",1
"Disease-Free Survival",8
"hope",1
"MST",2
"Control Groups",1
"pint",1
"Group (social concept)",8
"Level I (tumor staging)",1
"therapeutic aspects",20
"Adjuvants, Immunologic",4
"Staining",1
"Likely",3
"External (qualifier value)",4
"Enhancer",2
"Cancer Genus",2
"Baths (medical device)",2
"Direct type of resin cement",1
"Documentation",1
"Attenuated by (contextual qualifier) (qualifier value)",7
"Course (attribute)",4
"recur",1
"Hybridomas",1
"Cox microbiology subtype",1
"Cyclic (qualifier value)",4
"Definite time (qualifier value)",1
"Patients",23
"Major pelvis structure (body structure)",1
"Pharmacotherapy",17
"Irradiation (physical force)",5
"Subclinical (qualifier value)",1
"Essential (qualifier value)",1
"Harbor",1
"Endurance of activity",2
"Acuteness (qualifier value)",3
"LAB ABNORMALITY",2
"Lesion",1
"Case (qualifier value)",1
"Numerous (qualifier value)",2
"Entire pelvis",1
"Cost aspects",1
"Grade four rank",1
"NODE",4
"Techniques",2
"Personal failure",1
"Synchronous (qualifier value)",1
"Discontinuation (procedure)",1
"ESTIMATED",1
"Positive (qualifier value)",5
"Simile",4
"trends",3
"Bacilli",2
"Consistency finding (finding)",1
"X-Ray Computed Tomography",3
"Second (qualifier value)",3
"PELVIS RADIATION",2
"Forecast of outcome",2
"Adriamycin",2
"participation",1
"Chronic (qualifier value)",1
"Entire limb",1
"Chronic poisoning (disorder)",1
"Observation in research",3
"Alternating (qualifier value)",1
"Large",3
"Carcinoma, Adenosquamous",3
"Vagina",2
"Financially poor",1
"Location (attribute)",2
"Histopathological aspects",1
"Cycloleucine",1
"Mortality Vital Statistics",3
"Epithelium",2
"Gifts",1
"At risk for joint contractures (finding)",1
"Clinical investigation",2
"Degree or extent",2
"Entire (qualifier value)",1
"week (qualifier value)",7
"Expanding (qualifier value)",1
"Clinical staging (qualifier value)",1
"Few (qualifier value)",5
"Absolute (qualifier value)",1
"gynecologic oncology",1
"Effectiveness (qualifier value)",5
"Murine",1
"Future",1
"Secondary malignant neoplasm of lymph node (disorder)",1
"Chance",2
"Brazil",1
"Intravenous",4
"purine",1
"Records",1
"Expression - action (qualifier value)",1
"Injections",1
"Function Axis",2
"Wounded",1
"Analysis of substances",10
"Reasoning",3
"Dissection",2
"Modified radical mastectomy (procedure)",1
"PREVENT (product)",1
"Unmarried",1
"Diameter (qualifier value)",3
"hyperfractionation",1
"Cancer treatment response rate",4
"Neoplasm, Residual",1
"Stage 1 lower case bee",2
"Human",1
"Financial cost",2
"Pelvis",7
"Advanced phase",2
"PATHOLOGIC FINDINGS",1
"Population",1
"Radical (qualifier value)",3
"Menopausal",1
"Quantity (attribute)",1
"Heart failure NOS (disorder)",1
"Schedules",3
"Persistent (qualifier value)",1
"Combinations (physical object)",2
"Fit and well",1
"Progress Report",1
"Prostaglandin-Endoperoxide Synthase",1
"Tissues",2
"Colorectal Carcinoma",2
"PLACEMENT",1
"Oral (qualifier value)",1
"Pelvic Neoplasms",1
"Diagnostic radiologic examination",2
"Topoisomerase inhibitor (substance)",1
"Effective (qualifier value)",7
"Illness (finding)",1
"Complication",4
"SURGERY, PAST",1
"Peripheral blood (substance)",1
"Gamete Intrafallopian Transfer",1
"Complement component C1",1
"Lassitude",1
"Combination electrotherapy",1
"Weight Loss",1
"pM category (observable entity)",3
"Knowledge",1
"premenopausal",2
"Antigens",1
"DNA Replication",1
"Advance",1
"Glycoproteins",1
"Relative Risk",3
"Prophylactic (qualifier value)",1
"Research Personnel",2
"treatment factors",1
"Descending (qualifier value)",1
"Low dose (qualifier value)",1
"Proven findings",4
"Intervertebral (qualifier value)",1
"Absences (finding)",3
"History of (present illness) (contextual qualifier) (qualifier value)",2
"Fluorouracil",9
"Numbers (qualifier value)",1
"Exploration - action (qualifier value)",1
"Condition (attribute)",1
"Third (qualifier value)",3
"Toxic effect",15
"Size (attribute)",2
"node-negative",1
"Goals",2
"Administration (procedure)",4
"Proportional (qualifier value)",3
"Original (qualifier value)",1
"Lumbar (qualifier value)",1
"Progression (attribute)",3
"strategy",2
"Morbidity - disease rate",2
"Asia",1
"Methotrexate",3
"Associated topography (attribute)",2
"Taxonomic",1
"Biomechanical compliance",2
"Proliferation (morphologic abnormality)",1
"Limb structure",1
"Median Statistical Measurement",12
"Pelvic lymphadenectomy (procedure)",1
"Intellectual scale",1
"Depressive disorder",1
